Data Training Analisis Sentimen Pilgun DKI ;;;;
;;;;
;;;;
;;;;
;;;;
No;Tweet;Label;;
106;rt  knp sylviana mengacungkan jempol kebawah bicara panjang lebar tanpa ada pertanyaannkarena cewek tidak ;;;
107;rt  inilah gambaran yg saya sampaikan sebagai pendidikan politik agar supaya masyarakat tau siapa agus;;;
108;rt  nurunin jempol kebawah ya tadi wkwkww attitude nya mana ya ;;;
109;rt  mpok sylvi sangat buruknpak ahok ngasih jawaban koknmalah buat gestur jempol kebawahnmungkin ;;;
110;pdip sengaja becah belah rakyat warga dki tidak pilih ahok solusi cagub atasi masalah macet  ;;;
111;rt  paslon  masih berbicara seperti anime naruto dan bleachnnbanyak ;;;
112;rt  debat kok saling menjatuhkan ki pie dua dua nya nyerang eh malah bertengkar sendiri yg di serang melerai ngakak ;;;
113;pdip sengaja becah belah rakyat warga dki tidak pilih ahok janji calon gubernur soal pembang  ;;;
114;rt  menyambut  nrepost ilustrasi hasil yg pertama ah  bgn lagi yach  ;;;
115;rt  anies semakin terlihat aslinya masyarakat sudah cerdas tidak mudah dibohongi dengan  yang mengelabui data ;;;
116;rt  sy ga percaya mpok  melakukan gesture jempol yg sgt bad attitude inimoga hanya editan ini hanya  ;;;
117; mgk sebaiknya  beli tiket pswt pulang ke kampung nenek moyangnya ;;;
118;rt  terbukti ucapan ahok bhw kementerian  dapat raport paling buruk di peringkat  n;;;
119;rt  sylviana kesyikan ngomong sendiri lupa bertanya anies keasyikan nyerang pake  yg salah ya ahok  aja  ;;;
120;makanya prof rhenald kasali bilang bhw dlm  trjd pertarungan  lawan  ;;;
121;jangan pernah merobohkan pagar tanpa mengetahui me  ;;;
122;dalam hidupterkadang kita lebih banyak mendapatkan apa yang tidak kita inginkan dan ketika ki  ;;;
123;rt  ibu terima kasih atas doa dan kumpulan pelajaran yang telah membangun pemikiran karakter dan semangat untuk  ;;;
124;rt  yang dikiri dia pikir dia ariel yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau  ;;;
125;rt  ahok kami bukan saja rencana lawan ketidakadilan sosial dalam birokrasi kami sudah lakukan kami hilangkan pungli dsb ;;;
126;rt  nah gue pikir sentimen petahana oke di  semalam tapi mnrt politicawave malah sebaliknya  ;;;
127;rt  tiap ahok djarot ngomong nambah ilmu ya kita  ;;;
128;rt  agus makin santainahok makin santunnanies makin ;;;
129;ahli psikologi ahli komunikasi ahli politik ahli  dan ahli  bisa guyub kerja kelompok bareng ngawurku ;;;
130;makanya disebut pesta demokrasi ramai dan meriah ngawurku ;;;
131;rugi kita lek kalau ndak bisa ikut hingar bingar pestanya ngawurku ;;;
132;rt  yang dikiri dia pikir dia ariel yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau  ;;;
133;pilkada dki jakarta harap tidak pilih nomor  bahaya laten komunis  href  atau  satu atau tiga pilih ganjil jangan  jan  ;;;
134;rt  di  ada pak antasari azhar suporter paslon teriak bongkar bongkar ada seorang ibu dag dig dug;;;
135;rt  dari dulu sampe sekarang emang gak rubah;;;
136;pilkada dki jangan pilih pki berbahaya pilih  atau  saja perwakilan ormas islam j  imlek;;;
137;rt  retweet please nmenurut anda paslon mana yang paling pantas memimpin jakarta lima tahun kedepan ;;;
138;rt  waktu agus bilang gak gusur tapi cuma geser gue inget tatan lhoo  ;;;
139;rt  kata siapa mas agus enggak punya solusi utk masalah dki jkt mas agus itu punya solusi bambang yudhoyono sby ;;;
140;rt  momen tak terlupakan  ;;;
141;rt  anies dan agus adalah dua orang yg bermimpi semuanya perfect tdk ada yang salah dan harus menjadi manusia tanpa ;;;
142;rt  tidak bisa dalam waktu  tahun hrs membereskan semuanya karena masih ada yg dalam progres ini bukan sulap ;;;
143;rt  ketidakberhasilan anies baswedan dalam memimpin kementerian banyak masalah dan belum lagi soal salah hitung ;;;
144;rt  anies baswedan hanya mengurus satu urusan saja berantakan bagaimana dia bisa berfantasi menyelesaikan banyak ;;;
145;rt  nah gue pikir sentimen petahana oke di  semalam tapi mnrt politicawave malah sebaliknya  ;;;
146;pilkada dki jakarta harap tidak pilih nomor  bahaya laten komunis  href  atau  satu atau tiga pilih ganjil jangan  jan  ;;;
147;rt  kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin  tahun masih banyak yang ;;;
148;rt  kalau gunakan fantasi anies maka anies bisa menuding bhw ali sadikin bapaknya boy sadikin gak beres memimpin ;;;
149;rt  inilah gambaran yg saya sampaikan sebagai pendidikan politik agar supaya masyarakat tau siapa agus amp;;;
150;rt  retweet please nmenurut anda paslon mana yang paling pantas memimpin jakarta lima tahun kedepan ;;;
151;rt  balik lg ke pekerjaan  balik jadi  balik jadi  balik jadi motivator ;;;
152;rt  inilah gambaran yg saya sampaikan sebagai pendidikan politik agar supaya masyarakat tau siapa agus amp;;;
153;rt  kalau gunakan fantasi anies maka anies bisa menuding bhw ali sadikin bapaknya boy sadikin gak beres memimpin ;;;
154;rt  kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin  tahun masih banyak yang ;;;
155;rt  anies baswedan hanya mengurus satu urusan saja berantakan bagaimana dia bisa berfantasi menyelesaikan banyak ;;;
156;rt  ketidakberhasilan anies baswedan dalam memimpin kementerian banyak masalah dan belum lagi soal salah hitung ;;;
157;rt  tidak bisa dalam waktu  tahun hrs membereskan semuanya karena masih ada yg dalam progres ini bukan sulap ;;;
158;rt  anies dan agus adalah dua orang yg bermimpi semuanya perfect tdk ada yang salah dan harus menjadi manusia tanpa ;;;
159;penuh retorikapesannya halus tapi mencuci otak agar org terkesimapadahal gak ada solusi lbh real yg ;;;
160;rt  tiap ahok djarot ngomong nambah ilmu ya kita  ;;;
161;rt  mengacungkan jari kebawah termasuk bagian dari rasis dan itu dilakukan paslon  menurut sy itu attitude yg kurang ;;;
162;pilkada dki jakarta harap tidak pilih nomor  bahaya laten komunis  href  atau  satu atau tiga pilih ganjil jangan  jan  ;;;
163;rt  ibu terima kasih atas doa dan kumpulan pelajaran yang telah membangun pemikiran karakter dan semangat untuk  ;;;
164;rt  demikianlah courtside countdown  sampai jumpa aniessandiokoce ;;;
165;rt  ipm di dki tertinggi berdasar data bps bagaimana mas  cc  ;;;
166;rt  para pemujapemuji  kalau msh juga memuji ini keterlaluan mbok ya kalau tugas boleh tapi  ;;;
167;pilkada dki jangan pilih pki berbahaya pilih  atau  saja meriah warga dan turis saksika  ;;;
168; waduh malem siapa yg salah ni  href  for  farhan ascreennameekafarhanalocationindonesiaurl kepercayaan suatu kaum sudah tdk percaya pada institusi penegak hukum negerinya hancurlah bangsa kita nig  dec  jan  ;;;
169;rt  terbukti ucapan ahok bhw kementerian  dapat raport paling buruk di peringkat  n;;;
170;dukungan debat live di tv krn sbg istri cagub hrs punya program pemberdayaan thp wanita dll  apakah setuju ;;;
171;rt  respon netizen di segmen  terhadap pasangan  dan  politicawave ;;;
172;rt  retweet please nmenurut anda paslon mana yang paling pantas memimpin jakarta lima tahun kedepan ;;;
173;rt  ipm di dki tertinggi berdasar data bps bagaimana mas  cc  ;;;
174;rt  sebelum debat kompak dukung agus  sylvi setelah  makin solid dukung  ;;;
175;rt  paslon lain harap tanya ke paslon  terutama bu silvi apakah beliau pernah nyerobot antrian makanan pas ;;;
176;rt  tiap ahok djarot ngomong nambah ilmu ya kita  ;;;
177;rt  visi misi anies adalah penilaian buruk orang lain  ;;;
178;rt  jangan pilih cagub yg dekat dgn sarang koruptor  ;;;
179;rt  dengan a mengecil dan v mengecil dimasukkan rumus jelas qvxa maka  debit air q akan mengecil  ;;;
180;rt  kalau bantaran sungai diperbesar maka penampang sungai a membesar dan hambatan berkurang alias v membesar ;;;
181;rt  kalau a dan v membesar sdg debit q a x v maka jelas debit sungai membesar bisa membuang air lebih cepat ;;;
182;rt  debit q dg satuan  yg besar artinya tiap detiknya sungai  mengurangi banjir secara lebih cepat  ;;;
183;rt  tiap ahok djarot ngomong nambah ilmu ya kita  ;;;
184;kiriman dari mas marco kusumawijaya idk ap ini valid atau tidak tapi menarik  ;;;
185;rt  masih pagi malehh hahahah  ;;;
186;rt  ngerih  ;;;
187;kiriman dari mas marco kusumawijaya idk ap ini valid atau tidak tapi menarik dari mas marco kusumawijaya idk ap ini valid atau tidak tapi menarik;;;
188;rt  di  ini pak anies berbohong dan tidak pakai  memilih calon yang tidak  ;;;
189;rt  hanya beliau yg berani menyatakan dirinya pelayan dan akan melayani masy dki sangat mulia terima kasih pak ;;;
190;pilkada dki jangan pilih pki berbahaya pilih  atau  saja sebut ada tanda kecurang  imlek;;;
191;rt  paslon  once said jangan memilih pemimpin yang justru memecah belah tonight i realisedhe should keep it for himself  ;;;
192;rt  meme terbaik awal tahun ini  pecah goks  ahokdjarot ;;;
193;dulu mengidolakan anies skrg jujur knapa anies jd karakter jahat ada yg ngerasa sama apa cmn gw ;;;
194;rt  ketidakberhasilan anies baswedan dalam memimpin kementerian banyak masalah dan belum lagi soal salah hitung ;;;
195;rt  anies baswedan hanya mengurus satu urusan saja berantakan bagaimana dia bisa berfantasi menyelesaikan banyak ;;;
196;rt  sylviana kesyikan ngomong sendiri lupa bertanya anies keasyikan nyerang pake  yg salah ya ahok  aja  ;;;
197;rt  apa yang mungkin terjadi di debat pilkada  komikanus  ;;;
198;rt  kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin  tahun masih banyak yang ;;;
199;rt  kalau gunakan fantasi anies maka anies bisa menuding bhw ali sadikin bapaknya boy sadikin gak beres memimpin ;;;
200;rt  inilah gambaran yg saya sampaikan sebagai pendidikan politik agar supaya masyarakat tau siapa agus amp;;;
201;ogahpilihterdakwa penjarakanahok  href  web  oct  time us  jan  ;;;
202;rt  ahok agus atau anis atau pilih si anu andalah yang menentukan ahokoke  ;;;
203;rt  ini yg gue bilang yg hebat di tim  itu cuma tukang fotonya coba zoom orangnya dikit kebyakan  ;;;
204;rt  balik lg ke pekerjaan  balik jadi  balik jadi  balik jadi motivator ;;;
205;rt  pengen tau apa tanggapan  dan  kalau  gak perlu ditanya ntar ngak  ;;;
206;rt  yang dikiri dia pikir dia ariel yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau  ;;;
207;rt  di dalam debat  ngawur diluar debat jg ngawur yg begini msh dipujapuji kalian ditugaskan  ;;;
208;rt  ini pas banget ya tuhan  ;;;
209;rt  mpok  salah sebut dg uu no  terkait pengelolaan sampah padahal yg benar uu  ;;;
210;rt  tiap ahok djarot ngomong nambah ilmu ya kita  ;;;
211;rt  visi misi anies adalah penilaian buruk orang lain  ;;;
212;rt  retweet please nmenurut anda paslon mana yang paling pantas memimpin jakarta lima tahun kedepan ;;;
213;  smoga yg terbaik utk indonesia maju ;;;
214;rt  yang dikiri dia pikir dia ariel yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau  ;;;
215;rt  sylviana kesyikan ngomong sendiri lupa bertanya anies keasyikan nyerang pake  yg salah ya ahok  aja  ;;;
216;rt  terbukti ucapan ahok bhw kementerian  dapat raport paling buruk di peringkat  n;;;
217;pilkada dki jakarta harap tidak pilih nomor  bahaya laten komunis  href  atau  satu atau tiga pilih ganjil jangan  jan  ;;;
218;rt  ahok agus atau anis atau pilih si anu andalah yang menentukan ahokoke  ;;;
219;rt  kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin  tahun masih banyak yang ;;;
220;rt  kalau gunakan fantasi anies maka anies bisa menuding bhw ali sadikin bapaknya boy sadikin gak beres memimpin ;;;
221;rt  pasca  kena batunya  dibentak kapolres jakarta selatan karena bikin macet jalann;;;
222;rt  mgk sebaiknya  beli tiket pswt pulang ke kampung nenek moyangnya di ab  ;;;
223;pdip sengaja becah belah rakyat warga dki tidak pilih ahok teh hij  href  atau  satu atau tiga pilih ganjil jangan  jan  ;;;
224;rt  ups udh habis bu waktunya tanya apa hmm debat aja gk disiplin waktu gmn kalo mimpin jakarta ;;;
225;rt  dlm menjawab pak ahok langsung ke persoalan real di dki bukan teori bantaran sungai mmg harus  kosong ;;;
226;rt  sya sudah katakan data tanpa fakta pasti berujung jd bumerang dik  ;;;
227;pada akhirnya jg program mengkhianati rakyat ibu sama bapak sehat kan ;;;
228;rt  para pemujapemuji  kalau msh juga memuji ini keterlaluan mbok ya kalau tugas boleh tapi  ;;;
229;gaya uda kek dosen tapi data nya abal nmeehh  pakanies ;;;
230;pilkada dki jangan pilih pki berbahaya pilih  atau  saja rano karno bukabukaan d  imlek;;;
231;guenoos iaas nnsuperblockcitraraya ngeselinitusaat piala fa puisimalam  paslon ;;;
232;dari awal debat uda keliatan kok mau nyerang paslon  eh cari backup ya kasi pertanyaan spy paslon  ikutan nyerang  ;;;
233;rt  tentara pendudukan di daerah hukum pidana sukabumi imlek  ssmartday  ;;;
234;rt  beda konsep pembangunan jakarta ahokdjarot vs ahy  ;;;
235;rt  anies baswedan hanya mengurus satu urusan saja berantakan bagaimana dia bisa berfantasi menyelesaikan banyak ;;;
236;rt  kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin  tahun masih banyak yang ;;;
237;pilkada dki jakarta harap tidak pilih nomor  bahaya laten komunis  href  atau  satu atau tiga pilih ganjil jangan  jan  ;;;
238;rt  ibu sylvi adalah contoh bahwa wanita itu sulit ditebak dan pak anies contoh pria yg gak peka ;;;
239;  agus mungkin kebykan nonton harry  terbang mengapung atau emang jago mimpinipu dosa lho;;;
240;besok saya ajak kesana saja saya udah survei minggu lalu itu masuk bagian dr ibukota jakarta  href  for  novita helena bscreennamevitabangunlocationgadjah mada university djogjaurlnulldescriptionwanna make a dream becomes  feb  jan  ;;;
241;rt  jadi pertanyaannya apa dan ahok pun joged  ;;;
242;benerr bgt dan tidak mengajak penonton ikut mikir  href  for  dec  jan  ;;;
243;pilkada dki jangan pilih pki berbahaya pilih  atau  saja djarot pak habibie mint  imlek;;;
244;rt  pak aniskl pas libur lebaran  deh ke ancolitu pantai isinya rakyat semua pak bukan kecebong  ;;;
245;an investment in knowledge pays the best interestbenjamin franklin  ;;;
246;dan belum menemukan kualitas paslon  amp;;;
247;pilkada dki jakarta harap tidak pilih nomor  bahaya laten komunis  href  atau  satu atau tiga pilih ganjil jangan  jan  ;;;
248;sedangkan paslon  to the point menjawab punya datadata dan semua orang  s u d a h  tau transparasi pekerjaannya ;;;
249;pilkada dki jakarta harap tidak pilih nomor  bahaya laten komunis  href  atau  satu atau tiga pilih ganjil jangan  jan  ;;;
250;pdip sengaja becah belah rakyat warga dki tidak pilih ahok lazio d  href  atau  satu atau tiga pilih ganjil jangan  jan  ;;;
251;kami ingin melayani karena rakyat adalah boss kami ahokdjarot basukidjarot  pls ;;;
252;rt  kami ingin melayani karena rakyat adalah boss kami ahokdjarot basukidjarot  pls  ;;;
253; mantan mentri pendidikan yg seharusnya santun dan bijak dalam berbicara malah selalu menyerang dan menjatuhkan;;;
254;rt  yang dikiri dia pikir dia ariel yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau  ;;;
255;rt  mgkin merasa survey si anis naik jadinya malah dia keburu ingin ngejar prosentase hasil survey ;;;
256;rt  mgkin merasa survey si anis naik jadinya malah dia keburu ingin ngejar prosentase hasil survey ;;;
257;pilkada dki jakarta harap tidak pilih nomor  bahaya laten komunis  href  atau  satu atau tiga pilih ganjil jangan  jan  ;;;
258;rt  mgkin merasa survey si anis naik jadinya malah dia keburu ingin ngejar prosentase hasil survey ;;;
259;kosep menggeser tanpa menggusur helloww masuk akal gk ;;;
260;rt  luar biasanng nyangka punya niat spt ;;;
261;rt  ibu terima kasih atas doa dan kumpulan pelajaran yang telah membangun pemikiran karakter dan semangat untuk  ;;;
262;pilkada dki jangan pilih pki berbahaya pilih  atau  saja polisi libatkan pemburu  imlek;;;
263;rt  agus reminds me that not every harvard graduate is smart so chin up yall ivy league aint got nothing on us ;;;
264;apresiasi buat mbak  sbg moderator  pasti punya tantangan trsendiri mnghadapi  manusia pada saat ;;;
265;pilkada dki jakarta harap tidak pilih nomor  bahaya laten komunis  href  atau  satu atau tiga pilih ganjil jangan  jan  ;;;
266;rt  pemilih awam pasti susah paham dg  asing yg berhamburan dr paslon  n  buknnya rakyat jd bahagia malah pusing ;;;
267;pilkada dki jakarta harap tidak pilih nomor  bahaya laten komunis  href  atau  satu atau tiga pilih ganjil jangan  jan  ;;;
268;rt  pk anis nyinggung kjp rakyat jkt perlu tau nih justru pk anis itu di copot oleh pk jkw krn ngurus kip gk berhasil ;;;
269;pilkada dki jakarta harap tidak pilih nomor  bahaya laten komunis  href  atau  satu atau tiga pilih ganjil jangan  jan  ;;;
270;rt  anies dan agus adalah dua orang yg bermimpi semuanya perfect tdk ada yang salah dan harus menjadi manusia tanpa ;;;
271;rt  tidak bisa dalam waktu  tahun hrs membereskan semuanya karena masih ada yg dalam progres ini bukan sulap ;;;
272;rt  ketidakberhasilan anies baswedan dalam memimpin kementerian banyak masalah dan belum lagi soal salah hitung ;;;
273;rt  anies baswedan hanya mengurus satu urusan saja berantakan bagaimana dia bisa berfantasi menyelesaikan banyak ;;;
274;rt  kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin  tahun masih banyak yang ;;;
275;rt  kalau gunakan fantasi anies maka anies bisa menuding bhw ali sadikin bapaknya boy sadikin gak beres memimpin ;;;
276;rt  lah lu monolog sejam yg dihadiri  lu sendiri  knp gak dijelaskan ngeles aja emg gak  ;;;
